,id,email,gender,age,spending_beverage,spending_bakery,spending_canned,spending_frozen,spending_meat,spending_fruit_vege,spending_cleaner,spending_paper,cluster
0,1,cgaffey0@gmpg.org,Male,30,3.02,17.08,8.01,80.13,173.34,165.01,44.35,51.49,1
1,2,chamberston1@posterous.com,Male,46,45.12,48.96,29.19,12.96,198.96,241.05,6.31,20.3,1
2,3,egriffen2@deviantart.com,Male,66,12.07,24.44,47.18,62.79,59.81,175.5,37.77,63.67,5
3,4,cdurnian3@nyu.edu,Female,47,32.38,13.29,43.76,73.8,167.87,75.41,23.66,28.5,2
4,5,noreagan4@loc.gov,Male,24,36.05,28.1,16.01,14.32,125.87,171.87,24.3,37.47,1
5,6,scockhill5@discuz.net,Female,55,38.86,41.57,16.7,46.16,177.25,53.09,46.78,46.91,2
6,7,aavent6@sun.com,Male,48,31.32,16.57,40.16,75.6,53.65,97.3,42.9,23.77,2
7,8,arichmond7@github.com,Male,63,41.4,17.26,13.22,12.66,79.58,239.44,43.01,21.34,5
8,9,tparkins8@t-online.de,Female,57,37.8,69.36,37.26,83.23,99.86,3.25,1.13,66.38,2
9,10,ckase9@mysql.com,Female,41,15.99,7.68,14.33,73.91,11.57,126.45,26.34,29.82,5
10,11,rbeamesa@webnode.com,Male,69,4.43,40.78,35.81,64.11,77.94,40.66,36.86,36.39,2
11,12,lwasonb@studiopress.com,Male,67,16.09,20.8,33.12,7.94,161.53,227.29,41.2,30.37,1
12,13,etwentymanc@ebay.com,Male,26,21.79,23.92,5.39,30.96,14.99,49.4,32.31,20.08,2
13,14,lgilfordd@home.pl,Female,27,2.18,65.32,43.72,43.1,163.66,102.63,9.65,61.79,1
14,15,skincadee@t.co,Female,48,0.8,29.16,25.86,82.93,95.19,120.87,16.1,57.69,5
15,16,cilyushkinf@google.it,Female,32,13.59,21.11,24.29,69.97,86.97,7.95,17.02,57.29,2
16,17,jfoxtong@posterous.com,Male,44,49.97,46.21,11.99,50.36,23.15,240.82,41.26,42.5,5
17,18,rlundbergh@hao123.com,Male,29,45.08,68.0,19.07,75.32,75.96,175.67,13.96,51.0,5
18,19,wetocki@theglobeandmail.com,Male,69,48.19,10.45,39.28,85.02,22.23,240.11,45.41,65.22,5
19,20,gprewerj@comcast.net,Male,37,10.02,36.88,30.26,63.51,110.1,209.24,23.07,50.82,1
20,21,tmcnirlank@1688.com,Male,45,3.57,26.38,0.67,24.57,173.94,123.56,26.24,18.59,1
21,22,kchastangl@wufoo.com,Male,45,37.63,60.21,21.16,60.55,197.22,7.37,45.3,31.81,2
22,23,odelamerem@arizona.edu,Female,54,49.45,9.53,14.03,60.96,163.52,5.82,34.98,0.86,2
23,24,mrysdalen@yelp.com,Female,48,5.27,48.07,33.94,3.7,115.75,242.03,1.05,41.23,1
24,25,kbramfordo@fda.gov,Male,42,46.34,41.52,11.82,34.17,73.21,161.64,30.79,56.05,5
25,26,bcreboep@indiegogo.com,Male,68,4.7,13.54,20.52,40.19,194.58,244.4,43.13,23.56,1
26,27,dbereclothq@eventbrite.com,Male,40,8.28,52.16,31.96,98.64,131.28,214.94,14.04,54.35,1
27,28,npackr@virginia.edu,Male,22,6.79,13.02,22.98,36.04,25.89,67.75,24.94,73.43,2
28,29,hchapelhows@youtu.be,Female,39,15.56,17.58,32.59,34.45,181.3,127.46,36.99,10.03,1
29,30,mcaneot@indiegogo.com,Female,53,11.29,70.29,13.74,45.66,80.28,231.87,36.23,47.15,5
30,31,gkittemanu@i2i.jp,Female,54,8.73,27.49,25.82,94.06,98.01,139.19,1.53,50.8,5
31,32,mstirripv@ebay.co.uk,Male,50,34.13,61.15,41.97,42.44,178.14,109.23,8.11,36.9,1
32,33,ejoscelynw@51.la,Male,39,6.96,32.26,15.51,46.99,82.82,141.61,22.71,57.79,5
33,34,vhigounetx@slideshare.net,Female,52,28.3,66.12,18.77,82.94,163.73,28.95,2.46,51.27,2
34,35,unittiy@liveinternet.ru,Male,63,45.29,71.24,1.15,85.88,5.77,162.91,43.01,66.25,5
35,36,aparrishz@berkeley.edu,Male,43,45.07,67.21,11.73,61.63,108.55,5.22,1.05,26.87,2
36,37,ksayton10@mysql.com,Female,23,36.04,46.97,35.37,82.67,182.36,200.99,33.53,58.97,1
37,38,cdetloff11@weibo.com,Female,25,28.92,51.69,44.68,30.81,99.14,184.24,31.31,17.98,5
38,39,ntregale12@w3.org,Female,50,48.51,65.62,3.32,77.25,8.89,231.59,30.9,23.71,5
39,40,cdows13@printfriendly.com,Male,30,45.84,25.6,45.42,82.57,16.34,47.77,3.37,65.79,2
40,41,ejansens14@cnn.com,Male,32,0.74,58.14,19.89,97.91,115.56,100.57,16.37,6.8,2
41,42,bkielt15@posterous.com,Male,25,23.6,62.88,29.49,18.96,178.66,117.89,7.62,41.43,1
42,43,spesic16@reddit.com,Male,55,45.22,73.93,7.08,38.68,5.16,84.2,45.42,46.31,2
43,44,clanchester17@admin.ch,Female,25,45.81,7.5,18.62,81.77,54.72,128.1,24.72,58.66,5
44,45,tbrimming18@google.cn,Female,34,40.24,73.62,24.99,76.95,195.63,231.97,10.9,6.21,1
45,46,malbrooke19@shareasale.com,Male,27,21.14,61.15,35.85,82.34,160.07,12.07,33.22,29.01,2
46,47,aflagg1a@furl.net,Male,59,10.41,62.41,22.14,35.11,37.75,79.26,24.33,0.48,2
47,48,cverman1b@thetimes.co.uk,Female,44,33.51,71.99,47.89,28.1,117.43,208.02,7.47,18.39,1
48,49,mhenke1c@biglobe.ne.jp,Female,41,8.52,4.92,28.29,10.95,119.7,146.2,32.49,9.1,1
49,50,dearle1d@utexas.edu,Female,67,0.98,4.15,24.26,93.02,134.6,136.79,39.23,24.68,1
50,51,wtoone1e@wordpress.com,Female,69,7.93,23.66,32.07,50.55,146.82,126.91,49.45,46.24,1
51,52,gbissell1f@digg.com,Female,58,12.83,7.05,10.54,73.08,106.86,186.3,27.95,9.92,1
52,53,ekrysiak1g@imageshack.us,Male,60,13.85,28.05,7.19,20.03,140.69,10.77,21.77,14.17,2
53,54,ebilles1h@blog.com,Male,65,22.61,24.34,8.64,43.03,93.97,76.49,23.93,49.71,2
54,55,pcanniffe1i@ebay.co.uk,Male,49,12.83,46.08,23.04,4.64,9.55,199.22,41.3,38.72,5
55,56,mdevaen1j@webs.com,Female,21,16.86,44.63,37.12,13.03,21.2,219.13,21.53,60.47,5
56,57,hbridgwater1k@yandex.ru,Male,34,40.71,48.6,9.48,24.37,88.87,183.1,8.45,24.27,5
57,58,fsidebotton1l@eepurl.com,Male,24,8.66,60.01,41.31,0.2,117.63,95.29,20.76,8.97,2
58,59,dtemplman1m@creativecommons.org,Male,25,44.61,35.84,38.35,75.91,149.25,170.09,33.29,17.13,1
59,60,bbassano1n@bizjournals.com,Female,58,43.21,39.09,27.56,39.85,182.88,117.82,24.16,73.74,1
60,61,emoyce1o@wunderground.com,Male,32,20.63,35.03,42.27,71.65,191.86,227.43,18.31,35.66,1
61,62,nhunnable1p@cornell.edu,Female,59,2.96,66.78,35.06,68.49,141.62,14.9,0.46,59.16,2
62,63,dfahrenbacher1q@about.me,Male,65,15.54,68.38,32.86,12.63,113.33,81.96,36.19,49.64,2
63,64,bprowse1r@multiply.com,Male,63,45.2,50.85,44.08,61.03,106.66,137.53,31.65,74.65,1
64,65,drubel1s@over-blog.com,Male,33,18.47,32.66,3.26,25.49,48.83,63.3,28.25,6.65,2
65,66,dmila1t@csmonitor.com,Male,21,41.79,1.42,43.39,95.75,13.37,44.24,2.04,67.47,2
